,value
1947-03-31,1488.9
1947-06-30,1496.9
1947-09-30,1500.5
1947-12-31,1524.3
1948-03-31,1546.6
1948-06-30,1571.1
1948-09-30,1577.6
1948-12-31,1580.5
1949-03-31,1558.2
1949-06-30,1553.6
1949-09-30,1570.7
1949-12-31,1553.9
1950-03-31,1618.4
1950-06-30,1667.2
1950-09-30,1733.1
1950-12-31,1763.9
1951-03-31,1782.9
1951-06-30,1814.9
1951-09-30,1851.6
1951-12-31,1855.8
1952-03-31,1876.7
1952-06-30,1878.2
1952-09-30,1889.9
1952-12-31,1951.9
1953-03-31,1987.4
1953-06-30,2004.3
1953-09-30,1990.2
1953-12-31,1958.6
1954-03-31,1949.7
1954-06-30,1952.6
1954-09-30,1973.7
1954-12-31,2014.1
1955-03-31,2071.6
1955-06-30,2104.3
1955-09-30,2132.4
1955-12-31,2143.9
1956-03-31,2136.4
1956-06-30,2152.8
1956-09-30,2150.8
1956-12-31,2184.1
1957-03-31,2198.8
1957-06-30,2195.0
1957-09-30,2215.5
1957-12-31,2189.2
1958-03-31,2131.0
1958-06-30,2143.6
1958-09-30,2190.9
1958-12-31,2239.7
1959-03-31,2286.2
1959-06-30,2345.5
1959-09-30,2345.5
1959-12-31,2354.1
1960-03-31,2405.4
1960-06-30,2393.9
1960-09-30,2398.9
1960-12-31,2369.3
1961-03-31,2383.7
1961-06-30,2427.1
1961-09-30,2467.2
1961-12-31,2517.5
1962-03-31,2561.0
1962-06-30,2590.3
1962-09-30,2615.7
1962-12-31,2625.1
1963-03-31,2654.8
1963-06-30,2688.2
1963-09-30,2739.8
1963-12-31,2760.3
1964-03-31,2823.2
1964-06-30,2855.7
1964-09-30,2894.7
1964-12-31,2900.5
1965-03-31,2974.0
1965-06-30,3014.6
1965-09-30,3073.6
1965-12-31,3144.5
1966-03-31,3222.6
1966-06-30,3234.8
1966-09-30,3254.7
1966-12-31,3283.7
1967-03-31,3313.4
1967-06-30,3310.7
1967-09-30,3336.6
1967-12-31,3360.8
1968-03-31,3429.2
1968-06-30,3488.3
1968-09-30,3513.4
1968-12-31,3528.1
1969-03-31,3582.2
1969-06-30,3590.6
1969-09-30,3610.3
1969-12-31,3593.3
1970-03-31,3589.1
1970-06-30,3597.4
1970-09-30,3628.3
1970-12-31,3587.6
1971-03-31,3691.3
1971-06-30,3712.8
1971-09-30,3738.4
1971-12-31,3749.2
1972-03-31,3823.4
1972-06-30,3910.0
1972-09-30,3950.7
1972-12-31,4018.7
1973-03-31,4125.0
1973-06-30,4168.3
1973-09-30,4158.0
1973-12-31,4192.5
1974-03-31,4168.1
1974-06-30,4176.5
1974-09-30,4126.5
1974-12-31,4098.0
1975-03-31,4040.1
1975-06-30,4075.6
1975-09-30,4148.4
1975-12-31,4206.7
1976-03-31,4304.2
1976-06-30,4341.2
1976-09-30,4362.0
1976-12-31,4398.4
1977-03-31,4457.6
1977-06-30,4535.9
1977-09-30,4616.4
1977-12-31,4616.6
1978-03-31,4636.0
1978-06-30,4804.8
1978-09-30,4854.6
1978-12-31,4925.8
1979-03-31,4939.6
1979-06-30,4949.3
1979-09-30,4995.6
1979-12-31,5011.4
1980-03-31,5028.8
1980-06-30,4922.5
1980-09-30,4911.3
1980-12-31,4986.3
1981-03-31,5086.4
1981-06-30,5048.1
1981-09-30,5110.5
1981-12-31,5056.8
1982-03-31,4969.4
1982-06-30,4996.9
1982-09-30,4963.4
1982-12-31,4964.8
1983-03-31,5021.5
1983-06-30,5142.2
1983-09-30,5233.9
1983-12-31,5342.0
1984-03-31,5452.6
1984-06-30,5544.3
1984-09-30,5591.1
1984-12-31,5627.1
1985-03-31,5664.3
1985-06-30,5710.9
1985-09-30,5788.6
1985-12-31,5839.6
1986-03-31,5887.3
1986-06-30,5901.9
1986-09-30,5959.0
1986-12-31,5981.7
1987-03-31,6027.6
1987-06-30,6095.8
1987-09-30,6145.8
1987-12-31,6254.1
1988-03-31,6302.0
1988-06-30,6372.8
1988-09-30,6402.0
1988-12-31,6487.4
1989-03-31,6565.6
1989-06-30,6599.7
1989-09-30,6633.4
1989-12-31,6663.4
1990-03-31,6743.6
1990-06-30,6760.8
1990-09-30,6742.6
1990-12-31,6713.3
1991-03-31,6667.4
1991-06-30,6692.1
1991-09-30,6704.7
1991-12-31,6749.4
1992-03-31,6811.1
1992-06-30,6873.8
1992-09-30,6923.3
1992-12-31,7015.1
1993-03-31,7020.9
1993-06-30,7056.0
1993-09-30,7092.4
1993-12-31,7182.1
1994-03-31,7249.8
1994-06-30,7346.3
1994-09-30,7385.1
1994-12-31,7476.0
1995-03-31,7510.2
1995-06-30,7528.6
1995-09-30,7572.3
1995-12-31,7645.2
1996-03-31,7703.1
1996-06-30,7820.4
1996-09-30,7853.5
1996-12-31,7947.9
1997-03-31,8025.1
1997-06-30,8145.6
1997-09-30,8225.1
1997-12-31,8276.9
1998-03-31,8405.4
1998-06-30,8448.7
1998-09-30,8517.6
1998-12-31,8662.0
1999-03-31,8755.5
1999-06-30,8801.8
1999-09-30,8906.4
1999-12-31,9071.1
2000-03-31,9119.7
2000-06-30,9233.0
2000-09-30,9238.2
2000-12-31,9274.0
2001-03-31,9241.7
2001-06-30,9224.3
2001-09-30,9199.8
2001-12-31,9283.5
2002-03-31,9367.5
2002-06-30,9376.7
2002-09-30,9477.9
