,Code,Name,Capital/Administrative centre[a],Flag,Coatof arms,Type,Federal district,Economic region,Area(km2)[16],Population[17],Populationdensity(/km2),Yearestablished
0,1,"Adygea, Republic of",Maykop,,,republic,Southern,North Caucasus,7600,447109,58.83,1922
1,2,"Bashkortostan, Republic of",Ufa,,,republic,Volga,Ural,143600,4104336,28.58,1919
2,3,"Buryatia, Republic of",Ulan-Ude,,,republic,Far Eastern,East Siberian,351300,981238,2.79,1923
3,4,Altai Republic,Gorno-Altaysk,,,republic,Siberian,West Siberian,92600,202947,2.19,1922
4,5,"Dagestan, Republic of",Makhachkala,,,republic,North Caucasian,North Caucasus,50300,2576531,51.22,1921
5,6,"Ingushetia, Republic of",Magas(Largest city: Nazran),,,republic,North Caucasian,North Caucasus,4000,467294,116.82,1992
6,7,Kabardino-Balkar Republic,Nalchik,,,republic,North Caucasian,North Caucasus,12500,901494,72.12,1936
7,8,"Kalmykia, Republic of",Elista,,,republic,Southern,Volga,76100,292410,3.84,1957
8,9,Karachay-Cherkess Republic,Cherkessk,,,republic,North Caucasian,North Caucasus,14100,439470,31.17,1957
9,10,"Karelia, Republic of",Petrozavodsk,,,republic,Northwestern,Northern,172400,716281,4.15,1956
10,11,Komi Republic,Syktyvkar,,,republic,Northwestern,Northern,415900,1018674,2.45,1921
11,12,Mari El Republic,Yoshkar-Ola,,,republic,Volga,Volga-Vyatka,23200,727979,31.38,1920
12,13,"Mordovia, Republic of",Saransk,,,republic,Volga,Volga-Vyatka,26200,888766,33.92,1930
13,14,Sakha (Yakutia) Republic,Yakutsk,,,republic,Far Eastern,Far Eastern,3103200,949280,0.31,1922
14,15,"North Ossetia-Alania, Republic of",Vladikavkaz,,,republic,North Caucasian,North Caucasus,8000,710275,88.78,1924
15,16,"Tatarstan, Republic of",Kazan,,,republic,Volga,Volga,68000,3779265,55.58,1920
16,17,Tuva Republic,Kyzyl,,,republic,Siberian,East Siberian,170500,305510,1.79,1944
17,18,Udmurt Republic,Izhevsk,,,republic,Volga,Ural,42100,1570316,37.3,1920
18,19,"Khakassia, Republic of",Abakan,,,republic,Siberian,East Siberian,61900,546072,8.82,1930
19,20,Chechen Republic,Grozny,,,republic,North Caucasian,North Caucasus,15300,1103686,72.14,1991
20,21,Chuvash Republic,Cheboksary,,,republic,Volga,Volga-Vyatka,18300,1313754,71.79,1920
21,22,Altai Krai,Barnaul,,,krai,Siberian,West Siberian,169100,2607426,15.42,1937
22,23,Krasnodar Krai,Krasnodar,,,krai,Southern,North Caucasus,76000,5125221,67.44,1937
23,24,Krasnoyarsk Krai,Krasnoyarsk,,,krai,Siberian,East Siberian,2339700,2966042,1.27,1934
24,25,Primorsky Krai,Vladivostok,,,krai,Far Eastern,Far Eastern,165900,2071210,12.48,1938
25,26,Stavropol Krai,Stavropol,,,krai,North Caucasian,North Caucasus,66500,2735139,41.13,1934
26,27,Khabarovsk Krai,Khabarovsk,,,krai,Far Eastern,Far Eastern,788600,1436570,1.82,1938
27,28,Amur Oblast,Blagoveshchensk,,,oblast,Far Eastern,Far Eastern,363700,902844,2.48,1932
28,29,Arkhangelsk Oblast,Arkhangelsk,,,oblast,Northwestern,Northern,587400,1336539,2.28,1937
29,30,Astrakhan Oblast,Astrakhan,,,oblast,Southern,Volga,44100,1005276,22.8,1943
30,31,Belgorod Oblast,Belgorod,,,oblast,Central,Central Black Earth,27100,1511620,55.78,1954
31,32,Bryansk Oblast,Bryansk,,,oblast,Central,Central,34900,1378941,39.51,1944
32,33,Vladimir Oblast,Vladimir,,,oblast,Central,Central,29000,1523990,52.55,1944
33,34,Volgograd Oblast,Volgograd,,,oblast,Southern,Volga,113900,2699223,23.7,1937
34,35,Vologda Oblast,Vologda(Largest city: Cherepovets),,,oblast,Northwestern,Northern,145700,1269568,8.71,1937
35,36,Voronezh Oblast,Voronezh,,,oblast,Central,Central Black Earth,52400,2378803,45.4,1934
36,37,Ivanovo Oblast,Ivanovo,,,oblast,Central,Central,21800,1148329,52.68,1936
37,38,Irkutsk Oblast,Irkutsk,,,oblast,Siberian,East Siberian,767900,2581705,3.36,1937
38,39,Kaliningrad Oblast,Kaliningrad,,,oblast,Northwestern,Kaliningrad,15100,955281,63.26,1946
39,40,Kaluga Oblast,Kaluga,,,oblast,Central,Central,29900,1041641,34.84,1944
40,41,Kamchatka Krai,Petropavlovsk-Kamchatsky,,,krai,Far Eastern,Far Eastern,472300,358801,0.76,2007
41,42,Kemerovo Oblast,Kemerovo,,,oblast,Siberian,West Siberian,95500,2899142,30.36,1943
42,43,Kirov Oblast,Kirov,,,oblast,Volga,Volga-Vyatka,120800,1503529,12.45,1934
43,44,Kostroma Oblast,Kostroma,,,oblast,Central,Central,60100,736641,12.26,1944
44,45,Kurgan Oblast,Kurgan,,,oblast,Ural,Ural,71000,1019532,14.36,1943
45,46,Kursk Oblast,Kursk,,,oblast,Central,Central Black Earth,29800,1235091,41.45,1934
46,47,Leningrad Oblast,Largest city: Gatchina[b],,,oblast,Northwestern,Northwestern,84500,1669205,19.75,1927
47,48,Lipetsk Oblast,Lipetsk,,,oblast,Central,Central Black Earth,24100,1213499,50.35,1954
48,49,Magadan Oblast,Magadan,,,oblast,Far Eastern,Far Eastern,461400,182726,0.4,1953
49,50,Moscow Oblast,Largest city: Balashikha[c],,,oblast,Central,Central,"44,300[18]",6618538,149.4,1929
50,51,Murmansk Oblast,Murmansk,,,oblast,Northwestern,Northern,144900,892534,6.16,1938
51,52,Nizhny Novgorod Oblast,Nizhny Novgorod,,,oblast,Volga,Volga-Vyatka,76900,3524028,45.83,1936
52,53,Novgorod Oblast,Veliky Novgorod,,,oblast,Northwestern,Northwestern,55300,694355,12.56,1944
53,54,Novosibirsk Oblast,Novosibirsk,,,oblast,Siberian,West Siberian,178200,2692251,15.11,1937
54,55,Omsk Oblast,Omsk,,,oblast,Siberian,West Siberian,139700,2079220,14.88,1934
55,56,Orenburg Oblast,Orenburg,,,oblast,Volga,Ural,124000,2179551,17.58,1934
56,57,Oryol Oblast,Oryol,,,oblast,Central,Central,24700,860262,34.83,1937
57,58,Penza Oblast,Penza,,,oblast,Volga,Volga,43200,1452941,33.63,1939
58,59,Perm Krai,Perm,,,krai,Volga,Ural,160600,2819421,17.56,2005
59,60,Pskov Oblast,Pskov,,,oblast,Northwestern,Northwestern,55300,760810,13.76,1944
60,61,Rostov Oblast,Rostov-on-Don,,,oblast,Southern,North Caucasus,100800,4404013,43.69,1937
61,62,Ryazan Oblast,Ryazan,,,oblast,Central,Central,39600,1227910,31.01,1937
62,63,Samara Oblast,Samara,,,oblast,Volga,Volga,53600,3239737,60.44,1928
63,64,Saratov Oblast,Saratov,,,oblast,Volga,Volga,100200,2668310,26.63,1936
64,65,Sakhalin Oblast,Yuzhno-Sakhalinsk,,,oblast,Far Eastern,Far Eastern,87100,546695,6.28,1947
65,66,Sverdlovsk Oblast,Yekaterinburg,,,oblast,Ural,Ural,194800,4486214,23.03,1935
66,67,Smolensk Oblast,Smolensk,,,oblast,Central,Central,49800,1049574,21.08,1937
67,68,Tambov Oblast,Tambov,,,oblast,Central,Central Black Earth,34300,1178443,34.36,1937
68,69,Tver Oblast,Tver,,,oblast,Central,Central,84100,1471459,17.5,1935
69,70,Tomsk Oblast,Tomsk,,,oblast,Siberian,West Siberian,316900,1046039,3.3,1944
70,71,Tula Oblast,Tula,,,oblast,Central,Central,25700,1675758,65.2,1937
71,72,Tyumen Oblast,Tyumen,,,oblast,Ural,West Siberian,143520,3264841,22.75,1944
72,73,Ulyanovsk Oblast,Ulyanovsk,,,oblast,Volga,Volga,37300,1382811,37.07,1943
73,74,Chelyabinsk Oblast,Chelyabinsk,,,oblast,Ural,Ural,87900,3603339,40.99,1934
74,75,Zabaykalsky Krai,Chita,,,krai,Far Eastern,East Siberian,431500,1155346,2.68,2008
75,76,Yaroslavl Oblast,Yaroslavl,,,oblast,Central,Central,36400,1367398,37.57,1936
76,77,Moscow,—,,,federal city,Central,Central,2511,10382754,4134.91,1147
77,78,Saint Petersburg,—,,,federal city,Northwestern,Northwestern,1439,4662547,3240.13,1703
78,79,Jewish Autonomous Oblast,Birobidzhan,,,autonomous oblast,Far Eastern,Far Eastern,36000,190915,5.3,1934
79,80,Nenets Autonomous Okrug,Naryan-Mar,,,autonomous okrug,Northwestern,Northern,176700,41546,0.24,1929
80,81,Khanty–Mansi Autonomous Okrug – Yugra,Khanty-Mansiysk(Largest city: Surgut),,,autonomous okrug,Ural,West Siberian,523100,1432817,2.74,1930
81,82,Chukotka Autonomous Okrug,Anadyr,,,autonomous okrug,Far Eastern,Far Eastern,737700,53824,0.07,1930
82,83,Yamalo-Nenets Autonomous Okrug,Salekhard(Largest city: Noyabrsk),,,autonomous okrug,Ural,West Siberian,750300,507006,0.68,1930
83,84,Republic of Crimea[d],Simferopol,,,republic,Southern[19][20],North Caucasus,"26,964[21]","1,966,801[22]",72.94,2014
84,85,Sevastopol[d],—,,,federal city,Southern[19][20],North Caucasus,864[23],"379,200[23]",438.89,2014
